idx,SEX_GBN,AGE_GBN,JOB_GBN,ADD_GBN,INCOME_GBN,MARRY_Y,DOUBLE_IN,NUMCHILD,TOT_ASSET,ASS_FIN,ASS_REAL,ASS_ETC,M_TOT_SAVING,M_JEOK,CHUNG_Y,M_FUND_STOCK,M_FUND,M_STOCK,M_SAVING_INSUR,M_CHUNG,TOT_DEBT,D_SHINYONG,D_DAMBO,D_JUTEAKDAMBO,D_JEONSEA,RETIRE_NEED,FOR_RETIRE,TOT_YEA,TOT_JEOK,TOT_CHUNG,TOT_FUND,TOT_ELS_ETE,TOT_SOBI,M_CRD_SPD
5,1,2,2,4,2,1,,,2300,300,0,2000,40,0,,0,0,0,0,0,1700,0,0,0,0,,0,,,,,,110,1437017
7,1,3,2,2,3,1,,,7500,7000,500,0,120,35,5,0,0,0,70,10,0,0,0,0,0,,30,2000,1000,800,,,104,3211358
9,2,3,2,2,6,2,2,1,41900,5900,35000,1000,120,80,5,0,0,0,10,10,16000,0,16000,16000,0,,0,800,500,1200,,,300,2932871
10,1,5,2,4,6,2,1,3,123200,16200,105000,2000,30,0,5,0,0,0,0,0,25800,0,25000,25000,0,,0,,,350,,,400,3106659
11,1,4,2,2,6,2,1,2,33500,1500,30000,2000,100,0,,0,0,0,0,0,4500,0,4500,4500,0,200,0,,,,,,350,3615840
13,2,4,6,3,7,2,2,2,55800,40800,9000,6000,200,0,5,10,10,0,130,20,800,0,0,0,0,300,100,5000,10300,1000,2500,,400,2835021
16,1,2,9,5,2,1,,,2000,1000,0,1000,50,0,,0,0,0,0,0,0,0,0,0,0,,10,,,,,,50,1405288
18,2,2,9,5,3,1,,,4500,1000,1500,2000,100,0,,0,0,0,0,0,0,0,0,0,0,,0,,,,,,120,1682269
20,1,3,2,3,4,2,1,1,25250,5250,16000,4000,100,80,5,0,0,0,10,0,0,0,0,0,0,,0,600,400,800,,,150,3232276
26,1,5,2,2,4,2,1,2,61300,300,60000,1000,1,0,,0,0,0,0,0,2050,0,0,0,1850,,0,,,,,,350,3038873
28,2,4,9,3,7,2,2,1,14500,7000,6000,1500,45,0,5,0,0,0,0,10,0,0,0,0,0,150,0,2000,,200,,,200,2835021
29,1,3,2,5,2,1,,,4530,2030,200,2300,60,60,,0,0,0,0,0,0,0,0,0,0,,10,,2000,,,,70,3146348
30,2,6,2,4,6,2,1,2,19800,1800,15000,3000,50,50,,0,0,0,0,0,3000,0,3000,3000,0,,50,1000,500,,,,450,1739355
