행정구역별(시군구),1990,1990,1990,1990,1990,1990,1990,1990,1990
행정구역별(시군구),총인구,남자,여자,총내국인,남자,여자,총외국인,남자,여자
전국,43410899,21782154,21628745,43390374,21770919,21619455,20525,11235,9290
서울특별시,10612577,5326341,5286236,10603250,5321357,5281893,9327,4984,4343
부산직할시,3798113,1881926,1916187,3795892,1880724,1915168,2221,1202,1019
대구직할시,2229040,1113242,1115798,2227979,1112689,1115290,1061,553,508
인천직할시,1817919,915079,902840,1816328,914238,902090,1591,841,750
광주직할시,1139003,571220,567783,1138717,571043,567674,286,177,109
대전직할시,1049578,530189,519389,1049122,529944,519178,456,245,211
경기도,6155632,3099913,3055719,6154359,3099159,3055200,1273,754,519
강원도,1580430,802179,778251,1579859,801845,778014,571,334,237
충청북도,1389686,697057,692629,1389222,696806,692416,464,251,213
충청남도,2013926,1021345,992581,2013270,1020993,992277,656,352,304
전라북도,2069960,1030300,1039660,2069378,1029993,1039385,582,307,275
전라남도,2507439,1266653,1240786,2506944,1266346,1240598,495,307,188
경상북도,2860595,1430330,1430265,2860109,1430043,1430066,486,287,199
경상남도,3672396,1842058,1830338,3671509,1841507,1830002,887,551,336
제주도,514605,254322,260283,514436,254232,260204,169,90,79
