행정구역별(시군구),2010,2010,2010,2010,2010
행정구역별(시군구),총가구,일반가구,집단가구,집단시설가구,외국인
전국,17574067,17339422,10864,9863,213918
서울특별시,3577497,3504297,1158,1678,70364
부산광역시,1251756,1243880,328,457,7091
대구광역시,873934,868327,296,257,5054
인천광역시,929489,918850,657,315,9667
광주광역시,518742,515855,277,369,2241
대전광역시,536297,532643,180,298,3176
울산광역시,377938,373633,221,153,3931
경기도,3908059,3831134,3218,2089,71618
강원도,560589,557751,221,437,2180
충청북도,564614,558796,459,465,4894
충청남도,758552,749035,746,671,8100
전라북도,663695,659946,290,525,2934
전라남도,684986,681431,368,475,2712
경상북도,1014345,1005349,901,894,7201
경상남도,1165209,1151172,1429,652,11956
제주특별자치도,188365,187323,115,128,799
