행정구역별(시군구),2010,2010,2010,2010,2010,2010,2010,2010,2010
행정구역별(시군구),총인구,남자,여자,총내국인,남자,여자,총외국인,남자,여자
전국,48580293,24167098,24413195,47990761,23840896,24149865,589532,326202,263330
서울특별시,9794304,4803373,4990931,9631482,4726028,4905454,162822,77345,85477
종로구,155575,76408,79167,151069,74331,76738,4506,2077,2429
중구,121144,59974,61170,117253,58125,59128,3891,1849,2042
용산구,227400,109321,118079,217228,104156,113072,10172,5165,5007
성동구,296135,146608,149527,290277,143855,146422,5858,2753,3105
광진구,368021,179711,188310,358319,175344,182975,9702,4367,5335
동대문구,346770,172136,174634,339599,168991,170608,7171,3145,4026
중랑구,403105,198985,204120,400027,197674,202353,3078,1311,1767
성북구,457570,223518,234052,452704,221374,231330,4866,2144,2722
강북구,324413,158689,165724,322587,158027,164560,1826,662,1164
도봉구,348625,170761,177864,347220,170210,177010,1405,551,854
노원구,587248,286386,300862,584906,285461,299445,2342,925,1417
은평구,450583,219881,230702,448112,218864,229248,2471,1017,1454
서대문구,313814,151125,162689,307562,148501,159061,6252,2624,3628
마포구,369432,177353,192079,363343,174405,188938,6089,2948,3141
양천구,469434,231595,237839,466456,230301,236155,2978,1294,1684
강서구,546938,267246,279692,543559,265856,277703,3379,1390,1989
구로구,417339,209430,207909,401239,200713,200526,16100,8717,7383
금천구,242510,123007,119503,230447,116529,113918,12063,6478,5585
영등포구,396243,197600,198643,374543,186507,188036,21700,11093,10607
동작구,397317,195641,201676,390197,192429,197768,7120,3212,3908
관악구,520849,261964,258885,511185,257548,253637,9664,4416,5248
서초구,393270,188932,204338,388220,186678,201542,5050,2254,2796
강남구,527641,250957,276684,522198,248319,273879,5443,2638,2805
송파구,646970,314787,332183,640732,311991,328741,6238,2796,3442
강동구,465958,231358,234600,462500,229839,232661,3458,1519,1939
부산광역시,3414950,1676689,1738261,3393191,1664678,1728513,21759,12011,9748
중구,48197,23626,24571,47260,22983,24277,937,643,294
서구,116600,56653,59947,116214,56499,59715,386,154,232
동구,93976,45911,48065,93256,45559,47697,720,352,368
영도구,139723,69683,70040,138808,69178,69630,915,505,410
부산진구,380395,184779,195616,378965,184200,194765,1430,579,851
동래구,266147,129877,136270,265596,129666,135930,551,211,340
남구,293900,144404,149496,291406,143351,148055,2494,1053,1441
북구,302141,149659,152482,301296,149351,151945,845,308,537
해운대구,410084,199000,211084,407851,197879,209972,2233,1121,1112
사하구,343324,170402,172922,340844,168838,172006,2480,1564,916
금정구,247333,121157,126176,245725,120363,125362,1608,794,814
강서구,54347,28496,25851,52207,26615,25592,2140,1881,259
연제구,202943,98700,104243,202523,98544,103979,420,156,264
수영구,169814,81175,88639,169081,80845,88236,733,330,403
사상구,252243,126970,125273,249053,125072,123981,3190,1898,1292
기장군,93783,46197,47586,93106,45735,47371,677,462,215
대구광역시,2446418,1212584,1233834,2431774,1204428,1227346,14644,8156,6488
중구,72925,35306,37619,72399,35050,37349,526,256,270
동구,319754,158015,161739,319022,157787,161235,732,228,504
서구,211593,105901,105692,210409,105230,105179,1184,671,513
남구,168574,80914,87660,167873,80618,87255,701,296,405
북구,453228,226693,226535,450218,225171,225047,3010,1522,1488
수성구,445365,218214,227151,444119,217631,226488,1246,583,663
달서구,605752,302050,303702,600509,298794,301715,5243,3256,1987
달성군,169227,85491,83736,167225,84147,83078,2002,1344,658
인천광역시,2662509,1334576,1327933,2632035,1315562,1316473,30474,19014,11460
중구,83623,42337,41286,81846,41458,40388,1777,879,898
동구,73455,36636,36819,72794,36266,36528,661,370,291
남구,416088,209497,206591,411756,207139,204617,4332,2358,1974
연수구,277429,139642,137787,274352,137905,136447,3077,1737,1340
남동구,460750,229800,230950,453903,224735,229168,6847,5065,1782
부평구,547395,272182,275213,542433,269631,272802,4962,2551,2411
계양구,336809,167551,169258,334970,166750,168220,1839,801,1038
서구,395777,201508,194269,389057,196367,192690,6720,5141,1579
강화군,56633,27535,29098,56423,27456,28967,210,79,131
옹진군,14550,7888,6662,14501,7855,6646,49,33,16
광주광역시,1475745,729330,746415,1466143,724161,741982,9602,5169,4433
동구,104639,51731,52908,103998,51436,52562,641,295,346
서구,305230,150031,155199,304469,149737,154732,761,294,467
남구,215270,104220,111050,214612,104000,110612,658,220,438
북구,480020,237293,242727,477593,236159,241434,2427,1134,1293
광산구,370586,186055,184531,365471,182829,182642,5115,3226,1889
대전광역시,1501859,750762,751097,1490158,745150,745008,11701,5612,6089
동구,246915,123437,123478,244344,122354,121990,2571,1083,1488
중구,255486,125699,129787,254577,125339,129238,909,360,549
서구,500984,245704,255280,498524,244654,253870,2460,1050,1410
유성구,293505,152136,141369,289303,149805,139498,4202,2331,1871
대덕구,204969,103786,101183,203410,102998,100412,1559,788,771
울산광역시,1082567,557694,524873,1071673,550869,520804,10894,6825,4069
중구,222493,113199,109294,221373,112739,108634,1120,460,660
남구,335340,171077,164263,332617,169544,163073,2723,1533,1190
동구,166297,88150,78147,164051,86582,77469,2246,1568,678
북구,169399,88014,81385,167821,86986,80835,1578,1028,550
울주군,189038,97254,91784,185811,95018,90793,3227,2236,991
경기도,11379459,5705613,5673846,11196053,5599570,5596483,183406,106043,77363
수원시,1071913,538990,532923,1054053,529820,524233,17860,9170,8690
성남시,949964,470760,479204,936267,464320,471947,13697,6440,7257
의정부시,417412,205500,211912,415170,204529,210641,2242,971,1271
안양시,602122,298756,303366,596772,296162,300610,5350,2594,2756
부천시,853039,423670,429369,842482,418314,424168,10557,5356,5201
광명시,329010,161990,167020,326418,160855,165563,2592,1135,1457
평택시,388508,197235,191273,381731,193189,188542,6777,4046,2731
동두천시,91828,45499,46329,90433,44708,45725,1395,791,604
안산시,728775,373471,355304,699063,356059,343004,29712,17412,12300
고양시,905076,443323,461753,897222,439587,457635,7854,3736,4118
과천시,66704,32810,33894,66319,32634,33685,385,176,209
구리시,185550,91450,94100,184503,91003,93500,1047,447,600
남양주시,529898,263646,266252,526639,261921,264718,3259,1725,1534
오산시,183890,93430,90460,180996,92124,88872,2894,1306,1588
시흥시,407090,214273,192817,393293,205262,188031,13797,9011,4786
군포시,278083,138185,139898,274198,136179,138019,3885,2006,1879
의왕시,144501,72166,72335,143378,71569,71809,1123,597,526
하남시,138829,70034,68795,137569,69365,68204,1260,669,591
용인시,856765,424383,432382,847138,419471,427667,9627,4912,4715
파주시,328128,166278,161850,323955,163570,160385,4173,2708,1465
이천시,195175,96963,98212,192918,95643,97275,2257,1320,937
안성시,179782,91663,88119,175824,89313,86511,3958,2350,1608
김포시,224350,114596,109754,217280,109124,108156,7070,5472,1598
화성시,488758,253385,235373,474160,242708,231452,14598,10677,3921
광주시,228747,116495,112252,224269,113572,110697,4478,2923,1555
양주시,187911,95714,92197,183673,92489,91184,4238,3225,1013
포천시,140997,72813,68184,136580,69508,67072,4417,3305,1112
