행정구역별(시군구),2010,2010,2010,2010,2010,2010
행정구역별(시군구),총주택,단독주택,아파트,연립주택,다세대주택,비거주용 건물내주택
전국,13883571,3797112,8185063,503630,1246486,151280
서울특별시,2446508,397103,1441769,140451,443778,23407
종로구,39727,13784,10667,5330,9238,708
중구,32520,7624,17141,1804,5210,741
용산구,60167,15650,28872,3888,11105,652
성동구,71555,13784,46539,2480,7983,769
광진구,69351,19048,27987,5227,15886,1203
동대문구,81728,22600,46027,4808,7226,1067
중랑구,84824,23525,43222,6435,10420,1222
성북구,116563,28856,62722,5805,18019,1161
강북구,81296,21175,29635,5108,24473,905
도봉구,95061,10487,62500,5241,16295,538
노원구,179602,8629,157175,4486,8737,575
은평구,117941,21399,35487,7780,52187,1088
서대문구,79217,17925,35017,6352,19157,766
마포구,96661,17094,50592,6500,21356,1119
양천구,120821,11470,77522,6717,24362,750
강서구,150333,13363,91342,6548,38010,1070
구로구,101947,13935,62302,9348,15650,712
금천구,48781,11027,24394,5317,7591,452
영등포구,87290,19238,58808,2590,5740,914
동작구,92224,18842,47882,6242,18474,784
관악구,107225,25478,49037,10124,21440,1146
서초구,106448,7911,78497,6179,12705,1156
강남구,146417,9207,115262,6059,14534,1355
송파구,171156,11789,108201,5738,43896,1532
강동구,107653,13263,74939,4345,14084,1022
부산광역시,990374,234001,617239,34446,92774,11914
중구,14290,4722,4438,326,3826,978
서구,33401,17196,10835,919,3961,490
동구,26855,15179,7488,1025,2671,492
영도구,43201,15466,24146,1106,2106,377
부산진구,111534,29050,69380,3198,8694,1212
동래구,73077,16724,45462,2829,6796,1266
남구,87120,21879,48680,4246,11509,806
북구,89275,9417,69743,2694,6799,622
해운대구,124888,13732,96344,2494,11594,724
사하구,100314,18908,68800,5305,6387,914
금정구,65841,17469,34728,3965,8584,1095
강서구,14316,9027,4779,114,0,396
연제구,56177,14264,34875,1192,5130,716
수영구,50732,12039,27562,2932,7648,551
사상구,68911,11655,50586,1077,4727,866
기장군,30442,7274,19393,1024,2342,409
대구광역시,661936,160011,443751,4885,45676,7613
중구,21212,9063,10405,171,895,678
동구,93790,26106,54037,1303,11318,1026
서구,48953,24152,15004,269,8661,867
남구,40239,21446,12647,366,4942,838
북구,121185,21918,91444,573,5928,1322
수성구,122424,23013,91325,999,6191,896
달서구,162481,22413,132279,782,5641,1366
달성군,51652,11900,36610,422,2100,620
인천광역시,781115,100659,465747,22935,184761,7013
중구,26168,6700,11723,1257,5963,525
동구,23140,7227,12988,220,2478,227
남구,118979,25667,50525,4723,36830,1234
연수구,75918,4185,65682,647,5176,228
남동구,135280,9054,85867,1371,37696,1292
부평구,157540,15702,97866,4090,38603,1279
계양구,100926,4628,65373,4630,25762,533
서구,117177,7785,73453,4843,29947,1149
강화군,20673,15212,2054,981,2092,334
옹진군,5314,4499,216,173,214,212
광주광역시,426391,88215,327964,3959,2670,3583
동구,28176,14020,11452,588,1608,508
서구,87214,14312,71755,504,72,571
남구,62408,17297,43341,1024,226,520
북구,140088,26250,110252,1656,656,1274
광산구,108505,16336,91164,187,108,710
대전광역시,404341,78985,283832,10510,27157,3857
동구,69527,20281,40117,2658,5680,791
중구,73166,19324,44275,2582,6018,967
서구,129513,19641,100907,2489,5572,904
유성구,75083,8542,62480,902,2629,530
대덕구,57052,11197,36053,1879,7258,665
울산광역시,295306,60697,206125,6310,17050,5124
중구,55991,14815,32360,1756,5965,1095
남구,89575,14370,67119,1787,4319,1980
동구,43471,7740,30417,1453,3157,704
북구,48280,6539,39642,590,1013,496
울주군,57989,17233,36587,724,2596,849
경기도,3063384,475769,2091028,141716,329629,25242
수원시,260423,37723,185720,9706,25382,1892
성남시,223405,37082,146466,9089,29407,1361
의정부시,114912,14224,84423,2423,12950,892
안양시,160729,13489,115501,5586,24997,1156
부천시,222503,22599,125841,16340,55843,1880
광명시,94333,6395,61826,3863,21771,478
평택시,116435,29977,69743,5664,9800,1251
동두천시,29848,6134,18406,2246,2745,317
안산시,157912,18337,93072,15026,30414,1063
고양시,241545,21014,193689,12381,13426,1035
과천시,16266,1907,12918,704,681,56
구리시,46881,5739,34214,2623,4032,273
남양주시,159357,14437,120506,11143,12442,829
오산시,50388,4513,41945,1837,1769,324
시흥시,105142,7592,79125,789,16574,1062
군포시,77936,3701,64391,1052,8234,558
의왕시,39656,2948,30337,545,5646,180
하남시,32885,6670,23809,986,994,426
용인시,242362,21759,198458,10141,11155,849
파주시,96428,23121,65919,3374,3067,947
이천시,56878,19806,30070,2782,3494,726
안성시,54921,20821,30679,2261,680,480
김포시,65982,11424,46866,2805,3929,958
화성시,143067,24577,106732,3470,7019,1269
광주시,61504,12874,29808,3987,13986,849
양주시,57593,11405,40642,1163,3498,885
포천시,43407,19306,16525,3805,2471,1300
여주군,32080,17330,12090,1444,747,469
연천군,14546,9343,3398,1248,281,276
가평군,16804,9699,3610,1952,912,631
양평군,27256,19823,4299,1281,1283,570
강원도,484267,207822,244482,20224,4070,7669
춘천시,80830,23907,53566,2049,477,831
원주시,96942,26588,67825,1357,244,928
강릉시,69172,27070,38112,2572,318,1100
동해시,31194,10133,18216,1639,643,563
태백시,18838,6362,9288,2690,164,334
속초시,28352,8364,17714,1501,394,379
삼척시,24950,12710,10266,1323,245,406
홍천군,22147,14209,6111,1300,139,388
횡성군,13675,10066,2633,573,107,296
영월군,13834,9703,2665,776,415,275
평창군,14138,10193,2544,815,228,358
정선군,13880,9341,3740,545,37,217
철원군,14650,9366,3272,1447,158,407
화천군,6959,4878,1680,237,23,141
양구군,6412,4459,1320,396,76,161
인제군,9624,6339,2158,500,283,344
고성군,9268,7740,1340,43,17,128
양양군,9402,6394,2032,461,102,413
충청북도,472717,188891,254628,17611,5825,5762
청주시,179908,38514,132595,4390,2515,1894
충주시,67487,26533,36526,3338,458,632
제천시,45236,18576,23792,1987,190,691
청원군,47029,22713,22618,724,542,432
보은군,12548,10128,1657,425,41,297
옥천군,18129,12245,4516,587,577,204
영동군,17581,13281,2933,1064,133,170
진천군,21335,10090,8560,1744,594,347
괴산군,13044,11563,735,265,275,206
음성군,28786,13992,12473,1619,284,418
단양군,11011,7620,2082,949,94,266
증평군,10623,3636,6141,519,122,205
충청남도,656143,296056,314049,21355,16825,7858
천안시,163550,32014,119072,3645,7191,1628
공주시,39156,23662,13422,1104,455,513
보령시,36224,20797,13393,1168,265,601
아산시,84440,22302,57242,1862,2301,733
서산시,51677,20854,25997,2522,1746,558
논산시,40649,26738,11748,1122,497,544
계룡시,12615,1195,11336,16,5,63
금산군,19233,13748,3933,520,727,305
연기군,24735,11890,11551,589,341,364
부여군,26125,21384,3251,1009,103,378
서천군,21863,17129,2695,1339,353,347
청양군,12044,10029,1386,223,282,124
홍성군,28379,18441,7776,714,1058,390
예산군,28916,19070,7631,1531,350,334
태안군,20509,14547,3986,1160,293,523
당진군,46028,22256,19630,2831,858,453
전라북도,588951,262872,304602,13048,2555,5874
전주시,184379,40966,137294,3719,738,1662
군산시,87595,27437,55792,3292,330,744
익산시,96273,34974,57001,2519,758,1021
정읍시,42023,24910,15976,693,72,372
남원시,28907,19001,9147,236,80,443
김제시,32573,23293,8423,522,70,265
완주군,27560,16852,10214,202,60,232
진안군,8947,7704,876,303,0,64
무주군,8940,7582,905,204,104,145
장수군,8037,7169,392,355,46,75
임실군,10417,9167,970,116,28,136
순창군,10560,9240,1000,29,99,192
고창군,21879,17931,3017,585,100,246
부안군,20861,16646,3595,273,70,277
전라남도,633934,368567,240613,11497,4854,8403
목포시,78054,21845,51708,1366,1573,1562
여수시,90436,34984,52214,1022,654,1562
순천시,83284,28865,52619,728,191,881
나주시,31024,22352,7931,324,127,290
광양시,46044,12543,31055,1419,439,588
담양군,14841,13621,940,50,87,143
곡성군,11207,10137,827,109,17,117
구례군,9213,8124,656,285,21,127
고흥군,29097,25548,1705,1478,134,232
보성군,17929,15804,1658,230,55,182
화순군,24054,13667,10056,150,34,147
장흥군,15393,13319,1297,519,47,211
강진군,14353,12466,1062,441,132,252
해남군,27179,23097,3397,310,54,321
영암군,22601,14338,6459,827,793,184
무안군,24460,15760,7906,443,172,179
함평군,13030,12141,544,142,24,179
영광군,19357,14560,3915,521,65,296
장성군,14688,11492,2711,232,17,236
완도군,19456,17052,1306,506,184,408
진도군,12655,11518,607,343,28,159
신안군,15579,15334,40,52,6,147
경상북도,858275,424441,370429,21207,28605,13593
포항시,157557,45961,93928,5309,9772,2587
경주시,83769,41778,33696,1936,4994,1365
김천시,44622,24961,17540,724,452,945
안동시,56446,29052,24723,1355,327,989
구미시,110451,24010,78434,2490,4317,1200
영주시,37382,21154,13461,1917,135,715
영천시,36410,21754,12615,788,725,528
상주시,37440,27650,7788,447,977,578
문경시,25747,18058,5396,1223,456,614
경산시,72283,20986,48305,530,1521,941
군위군,8923,8346,153,248,68,108
의성군,23299,21031,1352,247,365,304
청송군,10680,8828,1140,196,313,203
영양군,7112,6487,115,190,272,48
영덕군,15969,13574,842,789,380,384
청도군,16158,13896,1374,341,313,234
고령군,12239,8829,2809,67,324,210
성주군,14295,12829,890,168,182,226
칠곡군,33741,12945,18395,174,1686,541
예천군,18437,15571,2031,434,156,245
봉화군,13125,11108,1234,355,148,280
울진군,19325,13303,3992,1239,550,241
울릉군,2865,2330,216,40,172,107
경상남도,968582,377242,534417,23329,22103,11491
진주시,93760,39947,49610,1111,1444,1648
통영시,41988,17847,22077,1085,530,449
사천시,37730,19215,16371,1280,339,525
김해시,141199,24794,103445,1342,9938,1680
밀양시,37815,23628,12118,980,639,450
거제시,68604,18541,45487,2629,1151,796
양산시,78547,11565,63634,1093,1436,819
창원시,286769,77222,192260,9779,4807,2701
의령군,11401,10204,807,205,69,116
함안군,22837,14021,8190,273,79,274
창녕군,22426,17111,3534,933,495,353
고성군,19911,14919,3992,465,309,226
남해군,18714,16407,1520,278,128,381
하동군,17487,15446,1525,180,191,145
산청군,12872,11593,794,164,44,277
함양군,15636,12719,2240,465,81,131
거창군,21622,14991,5450,640,275,266
합천군,19264,17072,1363,427,148,254
제주특별자치도,151347,75781,44388,10147,18154,2877
제주시,109856,47945,37053,7011,15642,2205
서귀포시,41491,27836,7335,3136,2512,672
